Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Subiu?
3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,"3,09E+30",2924999952316280.0,2994999885559080.0,2930000066757200.0,"3,03E+30",2950000047683710.0,2900000095367430.0,Não
"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,"3,09E+30",2924999952316280.0,2994999885559080.0,2930000066757200.0,"3,03E+30",2950000047683710.0,2900000095367430.0,2700000047683710.0,Sim
4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,"3,09E+30",2924999952316280.0,2994999885559080.0,2930000066757200.0,"3,03E+30",2950000047683710.0,2900000095367430.0,2700000047683710.0,"2,60E+30",Não
3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,"3,09E+30",2924999952316280.0,2994999885559080.0,2930000066757200.0,"3,03E+30",2950000047683710.0,2900000095367430.0,2700000047683710.0,"2,60E+30",2559999942779540.0,Não
3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,"3,09E+30",2924999952316280.0,2994999885559080.0,2930000066757200.0,"3,03E+30",2950000047683710.0,2900000095367430.0,2700000047683710.0,"2,60E+30",2559999942779540.0,2505000114440910.0,Não
3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,"3,09E+30",2924999952316280.0,2994999885559080.0,2930000066757200.0,"3,03E+30",2950000047683710.0,2900000095367430.0,2700000047683710.0,"2,60E+30",2559999942779540.0,2505000114440910.0,2375.0,Sim
3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,"3,09E+30",2924999952316280.0,2994999885559080.0,2930000066757200.0,"3,03E+30",2950000047683710.0,2900000095367430.0,2700000047683710.0,"2,60E+30",2559999942779540.0,2505000114440910.0,2375.0,"2,34E+30",Não
3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,"3,09E+30",2924999952316280.0,2994999885559080.0,2930000066757200.0,"3,03E+30",2950000047683710.0,2900000095367430.0,2700000047683710.0,"2,60E+30",2559999942779540.0,2505000114440910.0,2375.0,"2,34E+30",2650000095367430.0,Sim
3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,"3,09E+30",2924999952316280.0,2994999885559080.0,2930000066757200.0,"3,03E+30",2950000047683710.0,2900000095367430.0,2700000047683710.0,"2,60E+30",2559999942779540.0,2505000114440910.0,2375.0,"2,34E+30",2650000095367430.0,"2,35E+30",Não
3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,"3,09E+30",2924999952316280.0,2994999885559080.0,2930000066757200.0,"3,03E+30",2950000047683710.0,2900000095367430.0,2700000047683710.0,"2,60E+30",2559999942779540.0,2505000114440910.0,2375.0,"2,34E+30",2650000095367430.0,"2,35E+30","2,35E+30",Não
